iata,icao,name,country,latitude,longitude,altitude,continent
NNX,WAQA,Nunukan Airport,Indonesia,4.136772,117.667145,48,Asia
NQU,SKNQ,Nuqui Airport,Colombia,5.709722,-77.262497,14,America
NUE,EDDN,Nuremberg Airport,Germany,49.498699,11.06689,1046,Europe
GOH,BGGH,Nuuk Airport,Greenland,64.190918,-51.678001,283,America
QAA,ENAS,Ny-Alesund Hamnerabben Airport,Norway,78.92778,11.874722,131,Arctic
NYA,USHN,Nyagan Airport,Russia,62.110001,65.610001,361,Asia
UYL,HSNL,Nyala Airport,Sudan,12.05347,24.956169,2106,Africa
NYU,VYBG,Nyaung U Airport,Myanmar (Burma),21.175343,94.928322,312,Asia
LZY,ZUNZ,Nyingchi Mainling Airport,China,29.309076,94.335884,9560,Asia
QHN,LHNY,Nyiregyhaza Airport,Hungary,47.983849,21.69232,330,Europe
NYR,UENN,Nyurba Airport,Russia,63.297222,118.346947,409,Asia
ONL,KONL,O'Neill Municipal Airport,United States,42.450001,-98.650002,2031,America
OKY,YBOK,Oakey Airport,Australia,-27.407381,151.740646,1336,Australia
OAK,KOAK,Oakland International Airport,United States,37.721272,-122.220001,9,America
OAM,NZOU,Oamaru Airport,New Zealand,-44.968788,171.080322,89,Pacific
OAX,MMOX,Oaxaca Xoxocotlan International Airport,Mexico,16.999901,-96.726601,4989,America
SZS,NZRC,Oban Ryans Creek Aerodrome,New Zealand,-46.899685,168.101273,266,Pacific
OBF,EDMO,Oberpfaffenhofen Airport,Germany,48.08136,11.28306,1947,Europe
OBI,SBTS,Obidos Tirios Airport,Brazil,2.224521,-55.944553,1129,America
OBO,RJCB,Obihiro Tokachi Airport,Japan,42.73333,143.217194,505,Asia
OCF,KOCF,Ocala International Airport,United States,29.174091,-82.221596,79,America
OCE,KOXB,Ocean City Municipal Airport,United States,38.316666,-75.116669,11,America
